Model,class,precision,recall,f1_score,support
model2759,2,0.66,0.19,0.29,123
model2759,3,0.26,0.17,0.21,29
model2759,4,0.57,0.16,0.25,25
model2825,0,0.98,0.99,0.98,367
model2825,1,0.5,0.26,0.34,27
model2825,2,0.63,0.75,0.68,123
model2825,3,0.4,0.28,0.33,29
model2825,4,0.11,0.08,0.09,25
model2826,0,0.98,0.99,0.98,367
model2826,1,0.5,0.26,0.34,27
model2826,2,0.6,0.57,0.58,123
model2826,3,0.26,0.45,0.33,29
model2826,4,0.11,0.08,0.09,25
model2827,0,0.98,0.99,0.98,367
model2827,1,0.5,0.26,0.34,27
model2827,2,0.62,0.76,0.68,123
model2827,3,0.35,0.21,0.26,29
model2827,4,0.11,0.08,0.09,25
model2828,0,0.98,0.99,0.98,367
model2828,1,0.5,0.26,0.34,27
model2828,2,0.65,0.52,0.58,123
model2828,3,0.24,0.55,0.33,29
model2828,4,0.11,0.08,0.09,25
model2829,0,0.98,0.99,0.98,367
model2829,1,0.5,0.26,0.34,27
model2829,2,0.61,0.64,0.63,123
model2829,3,0.21,0.28,0.24,29
model2829,4,0.11,0.08,0.09,25
model2835,0,0.98,0.99,0.98,367
model2835,1,0.5,0.26,0.34,27
model2835,2,0.64,0.75,0.69,123
model2835,3,0.3,0.24,0.27,29
model2835,4,0.37,0.28,0.32,25
model2836,0,0.98,0.99,0.98,367
model2836,1,0.5,0.26,0.34,27
model2836,2,0.63,0.59,0.61,123
model2836,3,0.24,0.41,0.3,29
model2836,4,0.37,0.28,0.32,25
model2837,0,0.98,0.99,0.98,367
model2837,1,0.5,0.26,0.34,27
model2837,2,0.64,0.78,0.7,123
model2837,3,0.31,0.17,0.22,29
model2837,4,0.37,0.28,0.32,25
model2838,0,0.98,0.99,0.98,367
model2838,1,0.5,0.26,0.34,27
model2838,2,0.67,0.54,0.59,123
model2838,3,0.24,0.55,0.33,29
model2838,4,0.37,0.28,0.32,25
model2839,0,0.98,0.99,0.98,367
model2839,1,0.5,0.26,0.34,27
model2839,2,0.64,0.67,0.66,123
model2839,3,0.22,0.28,0.25,29
model2839,4,0.37,0.28,0.32,25
model2845,0,0.98,0.99,0.98,367
model2845,1,0.5,0.26,0.34,27
model2845,2,0.64,0.72,0.68,123
model2845,3,0.33,0.24,0.28,29
model2845,4,0.25,0.24,0.24,25
model2846,0,0.98,0.99,0.98,367
model2846,1,0.5,0.26,0.34,27
model2846,2,0.62,0.58,0.6,123
model2846,3,0.26,0.41,0.32,29
model2846,4,0.25,0.24,0.24,25
model2847,0,0.98,0.99,0.98,367
model2847,1,0.5,0.26,0.34,27
model2847,2,0.64,0.76,0.69,123
model2847,3,0.33,0.17,0.23,29
model2847,4,0.25,0.24,0.24,25
model2848,0,0.98,0.99,0.98,367
model2848,1,0.5,0.26,0.34,27
model2848,2,0.66,0.51,0.58,123
model2848,3,0.24,0.55,0.34,29
model2848,4,0.25,0.24,0.24,25
model2849,0,0.98,0.99,0.98,367
model2849,1,0.5,0.26,0.34,27
model2849,2,0.63,0.64,0.64,123
model2849,3,0.22,0.28,0.25,29
model2849,4,0.25,0.24,0.24,25
model2855,0,0.98,0.99,0.98,367
model2855,1,0.5,0.26,0.34,27
model2855,2,0.66,0.74,0.7,123
model2855,3,0.32,0.24,0.27,29
model2855,4,0.32,0.32,0.32,25
model2856,0,0.98,0.99,0.98,367
model2856,1,0.5,0.26,0.34,27
model2856,2,0.65,0.59,0.62,123
model2856,3,0.26,0.41,0.32,29
model2856,4,0.32,0.32,0.32,25
model2857,0,0.98,0.99,0.98,367
model2857,1,0.5,0.26,0.34,27
model2857,2,0.65,0.76,0.7,123
model2857,3,0.31,0.17,0.22,29
model2857,4,0.32,0.32,0.32,25
model2858,0,0.98,0.99,0.98,367
model2858,1,0.5,0.26,0.34,27
model2858,2,0.68,0.53,0.6,123
model2858,3,0.25,0.55,0.34,29
model2858,4,0.32,0.32,0.32,25
model2859,0,0.98,0.99,0.98,367
model2859,1,0.5,0.26,0.34,27
model2859,2,0.65,0.64,0.65,123
model2859,3,0.21,0.28,0.24,29
model2859,4,0.32,0.32,0.32,25
model2925,0,0.98,0.99,0.98,367
model2925,1,0.36,0.3,0.33,27
model2925,2,0.62,0.7,0.66,123
model2925,3,0.4,0.28,0.33,29
model2925,4,0.11,0.08,0.09,25
model2926,0,0.98,0.99,0.98,367
model2926,1,0.36,0.3,0.33,27
model2926,2,0.59,0.54,0.56,123
model2926,3,0.28,0.45,0.34,29
model2926,4,0.11,0.08,0.09,25
model2927,0,0.98,0.99,0.98,367
model2927,1,0.36,0.3,0.33,27
model2927,2,0.61,0.7,0.65,123
model2927,3,0.35,0.21,0.26,29
model2927,4,0.11,0.08,0.09,25
model2928,0,0.98,0.99,0.98,367
model2928,1,0.36,0.3,0.33,27
model2928,2,0.65,0.49,0.56,123
model2928,3,0.25,0.55,0.34,29
model2928,4,0.11,0.08,0.09,25
model2929,0,0.98,0.99,0.98,367
model2929,1,0.36,0.3,0.33,27
model2929,2,0.61,0.61,0.61,123
model2929,3,0.22,0.28,0.25,29
model2929,4,0.11,0.08,0.09,25
model2935,0,0.98,0.99,0.98,367
model2935,1,0.36,0.3,0.33,27
model2935,2,0.65,0.72,0.68,123
model2935,3,0.3,0.24,0.27,29
model2935,4,0.41,0.28,0.33,25
model2936,0,0.98,0.99,0.98,367
model2936,1,0.36,0.3,0.33,27
model2936,2,0.63,0.58,0.6,123
model2936,3,0.25,0.41,0.31,29
model2936,4,0.41,0.28,0.33,25
model2937,0,0.98,0.99,0.98,367
model2937,1,0.36,0.3,0.33,27
model2937,2,0.64,0.75,0.69,123
model2937,3,0.31,0.17,0.22,29
model2937,4,0.41,0.28,0.33,25
model2938,0,0.98,0.99,0.98,367
model2938,1,0.36,0.3,0.33,27
model2938,2,0.68,0.53,0.59,123
model2938,3,0.25,0.55,0.34,29
model2938,4,0.41,0.28,0.33,25
model2939,0,0.98,0.99,0.98,367
model2939,1,0.36,0.3,0.33,27
model2939,2,0.65,0.66,0.65,123
model2939,3,0.23,0.28,0.25,29
model2939,4,0.41,0.28,0.33,25
model2945,0,0.98,0.99,0.98,367
model2945,1,0.36,0.3,0.33,27
model2945,2,0.63,0.67,0.65,123
model2945,3,0.33,0.24,0.28,29
model2945,4,0.24,0.24,0.24,25
model2946,0,0.98,0.99,0.98,367
model2946,1,0.36,0.3,0.33,27
model2946,2,0.61,0.54,0.57,123
model2946,3,0.28,0.41,0.33,29
model2946,4,0.24,0.24,0.24,25
model2947,0,0.98,0.99,0.98,367
model2947,1,0.36,0.3,0.33,27
model2947,2,0.62,0.69,0.65,123
model2947,3,0.33,0.17,0.23,29
model2947,4,0.24,0.24,0.24,25
model2948,0,0.98,0.99,0.98,367
model2948,1,0.36,0.3,0.33,27
model2948,2,0.66,0.48,0.55,123
model2948,3,0.26,0.55,0.35,29
model2948,4,0.24,0.24,0.24,25
model2949,0,0.98,0.99,0.98,367
model2949,1,0.36,0.3,0.33,27
model2949,2,0.63,0.6,0.61,123
model2949,3,0.24,0.28,0.25,29
model2949,4,0.24,0.24,0.24,25
model2955,0,0.98,0.99,0.98,367
model2955,1,0.36,0.3,0.33,27
model2955,2,0.65,0.69,0.67,123
model2955,3,0.32,0.24,0.27,29
model2955,4,0.32,0.32,0.32,25
model2956,0,0.98,0.99,0.98,367
model2956,1,0.36,0.3,0.33,27
model2956,2,0.64,0.56,0.6,123
model2956,3,0.27,0.41,0.33,29
model2956,4,0.32,0.32,0.32,25
model2957,0,0.98,0.99,0.98,367
model2957,1,0.36,0.3,0.33,27
model2957,2,0.64,0.71,0.67,123
model2957,3,0.31,0.17,0.22,29
model2957,4,0.32,0.32,0.32,25
model2958,0,0.98,0.99,0.98,367
model2958,1,0.36,0.3,0.33,27
model2958,2,0.69,0.5,0.58,123
model2958,3,0.25,0.55,0.35,29
model2958,4,0.32,0.32,0.32,25
model2959,0,0.98,0.99,0.98,367
model2959,1,0.36,0.3,0.33,27
model2959,2,0.65,0.61,0.63,123
model2959,3,0.22,0.28,0.24,29
model2959,4,0.32,0.32,0.32,25
model21025,0,0.98,0.99,0.98,367
model21025,1,0.43,0.37,0.4,27
model21025,2,0.63,0.71,0.67,123
model21025,3,0.4,0.28,0.33,29
model21025,4,0.11,0.08,0.09,25
model21026,0,0.98,0.99,0.98,367
model21026,1,0.43,0.37,0.4,27
model21026,2,0.61,0.54,0.58,123
model21026,3,0.27,0.45,0.34,29
model21026,4,0.11,0.08,0.09,25
model21027,0,0.98,0.99,0.98,367
model21027,1,0.43,0.37,0.4,27
model21027,2,0.62,0.72,0.67,123
model21027,3,0.35,0.21,0.26,29
model21027,4,0.11,0.08,0.09,25
model21028,0,0.98,0.99,0.98,367
model21028,1,0.43,0.37,0.4,27
model21028,2,0.66,0.5,0.57,123
model21028,3,0.25,0.55,0.34,29
model21028,4,0.11,0.08,0.09,25
model21029,0,0.98,0.99,0.98,367
model21029,1,0.43,0.37,0.4,27
model21029,2,0.63,0.63,0.63,123
model21029,3,0.23,0.28,0.25,29
model21029,4,0.11,0.08,0.09,25
model21035,0,0.98,0.99,0.98,367
model21035,1,0.43,0.37,0.4,27
model21035,2,0.65,0.72,0.69,123
model21035,3,0.3,0.24,0.27,29
model21035,4,0.41,0.28,0.33,25
model21036,0,0.98,0.99,0.98,367
model21036,1,0.43,0.37,0.4,27
model21036,2,0.65,0.58,0.61,123
model21036,3,0.24,0.41,0.31,29
model21036,4,0.41,0.28,0.33,25
model21037,0,0.98,0.99,0.98,367
model21037,1,0.43,0.37,0.4,27
model21037,2,0.65,0.76,0.7,123
model21037,3,0.31,0.17,0.22,29
model21037,4,0.41,0.28,0.33,25
model21038,0,0.98,0.99,0.98,367
model21038,1,0.43,0.37,0.4,27
model21038,2,0.69,0.54,0.6,123
model21038,3,0.25,0.55,0.35,29
model21038,4,0.41,0.28,0.33,25
model21039,0,0.98,0.99,0.98,367
model21039,1,0.43,0.37,0.4,27
model21039,2,0.66,0.67,0.66,123
model21039,3,0.24,0.28,0.25,29
model21039,4,0.41,0.28,0.33,25
model21045,0,0.98,0.99,0.98,367
model21045,1,0.43,0.37,0.4,27
model21045,2,0.63,0.67,0.65,123
model21045,3,0.33,0.24,0.28,29
model21045,4,0.25,0.24,0.24,25
model21046,0,0.98,0.99,0.98,367
model21046,1,0.43,0.37,0.4,27
model21046,2,0.62,0.54,0.58,123
model21046,3,0.27,0.41,0.33,29
model21046,4,0.25,0.24,0.24,25
model21047,0,0.98,0.99,0.98,367
model21047,1,0.43,0.37,0.4,27
model21047,2,0.64,0.71,0.67,123
model21047,3,0.33,0.17,0.23,29
model21047,4,0.25,0.24,0.24,25
model21048,0,0.98,0.99,0.98,367
model21048,1,0.43,0.37,0.4,27
model21048,2,0.67,0.49,0.56,123
model21048,3,0.26,0.55,0.35,29
model21048,4,0.25,0.24,0.24,25
model21049,0,0.98,0.99,0.98,367
model21049,1,0.43,0.37,0.4,27
model21049,2,0.64,0.62,0.63,123
model21049,3,0.24,0.28,0.26,29
model21049,4,0.25,0.24,0.24,25
model21055,0,0.98,0.99,0.98,367
model21055,1,0.43,0.37,0.4,27
model21055,2,0.66,0.71,0.68,123
model21055,3,0.32,0.24,0.27,29
model21055,4,0.36,0.32,0.34,25
model21056,0,0.98,0.99,0.98,367
model21056,1,0.43,0.37,0.4,27
model21056,2,0.65,0.58,0.61,123
model21056,3,0.27,0.41,0.32,29
model21056,4,0.36,0.32,0.34,25
model21057,0,0.98,0.99,0.98,367
model21057,1,0.43,0.37,0.4,27
model21057,2,0.65,0.73,0.69,123
model21057,3,0.31,0.17,0.22,29
model21057,4,0.36,0.32,0.34,25
model21058,0,0.98,0.99,0.98,367
model21058,1,0.43,0.37,0.4,27
model21058,2,0.7,0.52,0.6,123
model21058,3,0.26,0.55,0.35,29
model21058,4,0.36,0.32,0.34,25
model21059,0,0.98,0.99,0.98,367
model21059,1,0.43,0.37,0.4,27
model21059,2,0.66,0.63,0.65,123
model21059,3,0.22,0.28,0.25,29
model21059,4,0.36,0.32,0.34,25
model21125,0,0.98,0.99,0.98,367
model21125,1,0.43,0.22,0.29,27
model21125,2,0.62,0.74,0.67,123
model21125,3,0.4,0.28,0.33,29
model21125,4,0.11,0.08,0.09,25
model21126,0,0.98,0.99,0.98,367
model21126,1,0.43,0.22,0.29,27
model21126,2,0.59,0.57,0.58,123
model21126,3,0.27,0.45,0.33,29
model21126,4,0.11,0.08,0.09,25
model21127,0,0.98,0.99,0.98,367
model21127,1,0.43,0.22,0.29,27
model21127,2,0.61,0.75,0.67,123
model21127,3,0.35,0.21,0.26,29
model21127,4,0.11,0.08,0.09,25
model21128,0,0.98,0.99,0.98,367
model21128,1,0.43,0.22,0.29,27
model21128,2,0.64,0.52,0.57,123
model21128,3,0.24,0.55,0.33,29
model21128,4,0.11,0.08,0.09,25
model21129,0,0.98,0.99,0.98,367
model21129,1,0.43,0.22,0.29,27
model21129,2,0.61,0.65,0.63,123
model21129,3,0.22,0.28,0.25,29
model21129,4,0.11,0.08,0.09,25
model21135,0,0.98,0.99,0.98,367
model21135,1,0.43,0.22,0.29,27
model21135,2,0.64,0.75,0.69,123
model21135,3,0.3,0.24,0.27,29
model21135,4,0.39,0.28,0.33,25
model21136,0,0.98,0.99,0.98,367
model21136,1,0.43,0.22,0.29,27
model21136,2,0.62,0.59,0.61,123
model21136,3,0.24,0.41,0.3,29
model21136,4,0.39,0.28,0.33,25
model21137,0,0.98,0.99,0.98,367
model21137,1,0.43,0.22,0.29,27
model21137,2,0.64,0.78,0.7,123
model21137,3,0.31,0.17,0.22,29
model21137,4,0.39,0.28,0.33,25
model21138,0,0.98,0.99,0.98,367
model21138,1,0.43,0.22,0.29,27
model21138,2,0.66,0.54,0.6,123
model21138,3,0.24,0.55,0.34,29
model21138,4,0.39,0.28,0.33,25
model21139,0,0.98,0.99,0.98,367
model21139,1,0.43,0.22,0.29,27
model21139,2,0.64,0.68,0.66,123
model21139,3,0.23,0.28,0.25,29
model21139,4,0.39,0.28,0.33,25
model21145,0,0.98,0.99,0.98,367
model21145,1,0.43,0.22,0.29,27
model21145,2,0.62,0.69,0.65,123
model21145,3,0.33,0.24,0.28,29
model21145,4,0.23,0.24,0.24,25
model21146,0,0.98,0.99,0.98,367
model21146,1,0.43,0.22,0.29,27
model21146,2,0.6,0.56,0.58,123
model21146,3,0.27,0.41,0.33,29
model21146,4,0.23,0.24,0.24,25
model21147,0,0.98,0.99,0.98,367
model21147,1,0.43,0.22,0.29,27
model21147,2,0.62,0.72,0.67,123
model21147,3,0.33,0.17,0.23,29
model21147,4,0.23,0.24,0.24,25
model21148,0,0.98,0.99,0.98,367
model21148,1,0.43,0.22,0.29,27
model21148,2,0.64,0.5,0.56,123
model21148,3,0.25,0.55,0.34,29
model21148,4,0.23,0.24,0.24,25
model21149,0,0.98,0.99,0.98,367
model21149,1,0.43,0.22,0.29,27
model21149,2,0.62,0.63,0.62,123
model21149,3,0.24,0.28,0.25,29
model21149,4,0.23,0.24,0.24,25
model21155,0,0.98,0.99,0.98,367
model21155,1,0.43,0.22,0.29,27
model21155,2,0.65,0.74,0.69,123
model21155,3,0.32,0.24,0.27,29
model21155,4,0.33,0.32,0.33,25
model21156,0,0.98,0.99,0.98,367
model21156,1,0.43,0.22,0.29,27
model21156,2,0.64,0.6,0.62,123
model21156,3,0.26,0.41,0.32,29
model21156,4,0.33,0.32,0.33,25
model21157,0,0.98,0.99,0.98,367
model21157,1,0.43,0.22,0.29,27
model21157,2,0.65,0.76,0.7,123
model21157,3,0.31,0.17,0.22,29
model21157,4,0.33,0.32,0.33,25
model21158,0,0.98,0.99,0.98,367
model21158,1,0.43,0.22,0.29,27
model21158,2,0.68,0.54,0.6,123
model21158,3,0.25,0.55,0.34,29
model21158,4,0.33,0.32,0.33,25
model21159,0,0.98,0.99,0.98,367
model21159,1,0.43,0.22,0.29,27
model21159,2,0.65,0.66,0.66,123
model21159,3,0.22,0.28,0.24,29
model21159,4,0.33,0.32,0.33,25
model21225,0,0.98,0.99,0.98,367
model21225,1,0.45,0.19,0.26,27
model21225,2,0.63,0.76,0.69,123
model21225,3,0.38,0.28,0.32,29
model21225,4,0.11,0.08,0.09,25
model21226,0,0.98,0.99,0.98,367
model21226,1,0.45,0.19,0.26,27
model21226,2,0.6,0.58,0.59,123
model21226,3,0.26,0.45,0.33,29
model21226,4,0.11,0.08,0.09,25
model21227,0,0.98,0.99,0.98,367
model21227,1,0.45,0.19,0.26,27
model21227,2,0.62,0.76,0.68,123
model21227,3,0.35,0.21,0.26,29
model21227,4,0.11,0.08,0.09,25
model21228,0,0.98,0.99,0.98,367
model21228,1,0.45,0.19,0.26,27
model21228,2,0.64,0.52,0.57,123
model21228,3,0.23,0.55,0.33,29
model21228,4,0.11,0.08,0.09,25
model21229,0,0.98,0.99,0.98,367
model21229,1,0.45,0.19,0.26,27
model21229,2,0.62,0.66,0.64,123
model21229,3,0.21,0.28,0.24,29
model21229,4,0.11,0.08,0.09,25
model21235,0,0.98,0.99,0.98,367
model21235,1,0.45,0.19,0.26,27
model21235,2,0.65,0.76,0.7,123
model21235,3,0.29,0.24,0.26,29
model21235,4,0.37,0.28,0.32,25
model21236,0,0.98,0.99,0.98,367
model21236,1,0.45,0.19,0.26,27
model21236,2,0.63,0.6,0.61,123
model21236,3,0.24,0.41,0.3,29
model21236,4,0.37,0.28,0.32,25
model21237,0,0.98,0.99,0.98,367
model21237,1,0.45,0.19,0.26,27
model21237,2,0.64,0.8,0.71,123
model21237,3,0.31,0.17,0.22,29
model21237,4,0.37,0.28,0.32,25
model21238,0,0.98,0.99,0.98,367
model21238,1,0.45,0.19,0.26,27
model21238,2,0.66,0.54,0.6,123
model21238,3,0.24,0.55,0.33,29
model21238,4,0.37,0.28,0.32,25
model21239,0,0.98,0.99,0.98,367
model21239,1,0.45,0.19,0.26,27
model21239,2,0.64,0.69,0.67,123
model21239,3,0.22,0.28,0.24,29
model21239,4,0.37,0.28,0.32,25
model21245,0,0.98,0.99,0.98,367
model21245,1,0.45,0.19,0.26,27
model21245,2,0.63,0.72,0.67,123
model21245,3,0.32,0.24,0.27,29
model21245,4,0.23,0.24,0.24,25
model21246,0,0.98,0.99,0.98,367
model21246,1,0.45,0.19,0.26,27
model21246,2,0.6,0.57,0.59,123
model21246,3,0.26,0.41,0.32,29
model21246,4,0.23,0.24,0.24,25
model21247,0,0.98,0.99,0.98,367
model21247,1,0.45,0.19,0.26,27
model21247,2,0.63,0.75,0.68,123
model21247,3,0.33,0.17,0.23,29
model21247,4,0.23,0.24,0.24,25
model21248,0,0.98,0.99,0.98,367
model21248,1,0.45,0.19,0.26,27
model21248,2,0.65,0.5,0.57,123
model21248,3,0.24,0.55,0.34,29
model21248,4,0.23,0.24,0.24,25
model21249,0,0.98,0.99,0.98,367
model21249,1,0.45,0.19,0.26,27
model21249,2,0.63,0.64,0.63,123
model21249,3,0.22,0.28,0.25,29
model21249,4,0.23,0.24,0.24,25
model21255,0,0.98,0.99,0.98,367
model21255,1,0.45,0.19,0.26,27
model21255,2,0.66,0.75,0.7,123
model21255,3,0.3,0.24,0.27,29
model21255,4,0.32,0.32,0.32,25
model21256,0,0.98,0.99,0.98,367
model21256,1,0.45,0.19,0.26,27
model21256,2,0.64,0.6,0.62,123
model21256,3,0.26,0.41,0.32,29
model21256,4,0.32,0.32,0.32,25
model21257,0,0.98,0.99,0.98,367
model21257,1,0.45,0.19,0.26,27
model21257,2,0.65,0.77,0.7,123
model21257,3,0.31,0.17,0.22,29
model21257,4,0.32,0.32,0.32,25
model21258,0,0.98,0.99,0.98,367
model21258,1,0.45,0.19,0.26,27
model21258,2,0.68,0.53,0.59,123
model21258,3,0.24,0.55,0.33,29
model21258,4,0.32,0.32,0.32,25
model21259,0,0.98,0.99,0.98,367
model21259,1,0.45,0.19,0.26,27
model21259,2,0.65,0.66,0.66,123
model21259,3,0.21,0.28,0.24,29
model21259,4,0.32,0.32,0.32,25
model21325,0,0.98,0.99,0.98,367
model21325,1,0.43,0.33,0.38,27
model21325,2,0.63,0.72,0.67,123
model21325,3,0.38,0.28,0.32,29
model21325,4,0.11,0.08,0.09,25
model21326,0,0.98,0.99,0.98,367
model21326,1,0.43,0.33,0.38,27
model21326,2,0.61,0.55,0.58,123
model21326,3,0.27,0.45,0.34,29
model21326,4,0.11,0.08,0.09,25
model21327,0,0.98,0.99,0.98,367
model21327,1,0.43,0.33,0.38,27
model21327,2,0.62,0.72,0.67,123
model21327,3,0.35,0.21,0.26,29
model21327,4,0.11,0.08,0.09,25
model21328,0,0.98,0.99,0.98,367
model21328,1,0.43,0.33,0.38,27
model21328,2,0.66,0.5,0.56,123
model21328,3,0.24,0.55,0.33,29
model21328,4,0.11,0.08,0.09,25
model21329,0,0.98,0.99,0.98,367
model21329,1,0.43,0.33,0.38,27
model21329,2,0.63,0.63,0.63,123
model21329,3,0.22,0.28,0.25,29
model21329,4,0.11,0.08,0.09,25
model21335,0,0.98,0.99,0.98,367
model21335,1,0.43,0.33,0.38,27
model21335,2,0.65,0.72,0.68,123
model21335,3,0.29,0.24,0.26,29
model21335,4,0.41,0.28,0.33,25
model21336,0,0.98,0.99,0.98,367
model21336,1,0.43,0.33,0.38,27
model21336,2,0.63,0.58,0.6,123
model21336,3,0.24,0.41,0.31,29
model21336,4,0.41,0.28,0.33,25
model21337,0,0.98,0.99,0.98,367
model21337,1,0.43,0.33,0.38,27
model21337,2,0.64,0.76,0.69,123
model21337,3,0.31,0.17,0.22,29
model21337,4,0.41,0.28,0.33,25
model21338,0,0.98,0.99,0.98,367
model21338,1,0.43,0.33,0.38,27
model21338,2,0.67,0.52,0.59,123
model21338,3,0.24,0.55,0.34,29
model21338,4,0.41,0.28,0.33,25
model21339,0,0.98,0.99,0.98,367
model21339,1,0.43,0.33,0.38,27
model21339,2,0.65,0.67,0.66,123
model21339,3,0.23,0.28,0.25,29
model21339,4,0.41,0.28,0.33,25
model21345,0,0.98,0.99,0.98,367
model21345,1,0.43,0.33,0.38,27
model21345,2,0.64,0.68,0.66,123
model21345,3,0.32,0.24,0.27,29
model21345,4,0.25,0.24,0.24,25
model21346,0,0.98,0.99,0.98,367
model21346,1,0.43,0.33,0.38,27
model21346,2,0.62,0.55,0.58,123
model21346,3,0.27,0.41,0.33,29
model21346,4,0.25,0.24,0.24,25
model21347,0,0.98,0.99,0.98,367
model21347,1,0.43,0.33,0.38,27
model21347,2,0.63,0.72,0.67,123
model21347,3,0.33,0.17,0.23,29
model21347,4,0.25,0.24,0.24,25
model21348,0,0.98,0.99,0.98,367
model21348,1,0.43,0.33,0.38,27
model21348,2,0.67,0.49,0.56,123
model21348,3,0.25,0.55,0.34,29
model21348,4,0.25,0.24,0.24,25
model21349,0,0.98,0.99,0.98,367
model21349,1,0.43,0.33,0.38,27
model21349,2,0.64,0.63,0.63,123
model21349,3,0.24,0.28,0.25,29
model21349,4,0.25,0.24,0.24,25
model21355,0,0.98,0.99,0.98,367
model21355,1,0.43,0.33,0.38,27
model21355,2,0.66,0.72,0.69,123
model21355,3,0.3,0.24,0.27,29
model21355,4,0.36,0.32,0.34,25
model21356,0,0.98,0.99,0.98,367
model21356,1,0.43,0.33,0.38,27
model21356,2,0.65,0.59,0.62,123
model21356,3,0.27,0.41,0.32,29
model21356,4,0.36,0.32,0.34,25
model21357,0,0.98,0.99,0.98,367
model21357,1,0.43,0.33,0.38,27
model21357,2,0.65,0.74,0.69,123
model21357,3,0.31,0.17,0.22,29
model21357,4,0.36,0.32,0.34,25
model21358,0,0.98,0.99,0.98,367
model21358,1,0.43,0.33,0.38,27
model21358,2,0.69,0.51,0.59,123
model21358,3,0.25,0.55,0.34,29
model21358,4,0.36,0.32,0.34,25
model21359,0,0.98,0.99,0.98,367
model21359,1,0.43,0.33,0.38,27
model21359,2,0.66,0.64,0.65,123
model21359,3,0.22,0.28,0.24,29
model21359,4,0.36,0.32,0.34,25
model21425,0,0.98,0.99,0.98,367
model21425,1,0.35,0.26,0.3,27
model21425,2,0.62,0.72,0.66,123
model21425,3,0.38,0.28,0.32,29
model21425,4,0.13,0.08,0.1,25
model21426,0,0.98,0.99,0.98,367
model21426,1,0.35,0.26,0.3,27
model21426,2,0.59,0.55,0.57,123
model21426,3,0.27,0.45,0.34,29
model21426,4,0.13,0.08,0.1,25
model21427,0,0.98,0.99,0.98,367
model21427,1,0.35,0.26,0.3,27
model21427,2,0.61,0.72,0.66,123
model21427,3,0.35,0.21,0.26,29
model21427,4,0.13,0.08,0.1,25
model21428,0,0.98,0.99,0.98,367
model21428,1,0.35,0.26,0.3,27
model21428,2,0.64,0.51,0.57,123
model21428,3,0.25,0.55,0.34,29
model21428,4,0.13,0.08,0.1,25
model21429,0,0.98,0.99,0.98,367
model21429,1,0.35,0.26,0.3,27
model21429,2,0.61,0.64,0.63,123
model21429,3,0.23,0.28,0.25,29
model21429,4,0.13,0.08,0.1,25
model21435,0,0.98,0.99,0.98,367
model21435,1,0.35,0.26,0.3,27
model21435,2,0.64,0.72,0.68,123
model21435,3,0.3,0.24,0.27,29
model21435,4,0.41,0.28,0.33,25
model21436,0,0.98,0.99,0.98,367
model21436,1,0.35,0.26,0.3,27
model21436,2,0.62,0.57,0.59,123
model21436,3,0.24,0.41,0.31,29
model21436,4,0.41,0.28,0.33,25
model21437,0,0.98,0.99,0.98,367
model21437,1,0.35,0.26,0.3,27
model21437,2,0.63,0.75,0.68,123
model21437,3,0.31,0.17,0.22,29
model21437,4,0.41,0.28,0.33,25
model21438,0,0.98,0.99,0.98,367
model21438,1,0.35,0.26,0.3,27
model21438,2,0.66,0.52,0.58,123
model21438,3,0.25,0.55,0.34,29
model21438,4,0.41,0.28,0.33,25
model21439,0,0.98,0.99,0.98,367
model21439,1,0.35,0.26,0.3,27
model21439,2,0.64,0.66,0.65,123
model21439,3,0.23,0.28,0.25,29
model21439,4,0.41,0.28,0.33,25
model21445,0,0.98,0.99,0.98,367
model21445,1,0.35,0.26,0.3,27
model21445,2,0.61,0.67,0.64,123
model21445,3,0.33,0.24,0.28,29
model21445,4,0.26,0.24,0.25,25
model21446,0,0.98,0.99,0.98,367
model21446,1,0.35,0.26,0.3,27
model21446,2,0.59,0.54,0.56,123
model21446,3,0.27,0.41,0.33,29
model21446,4,0.26,0.24,0.25,25
model21447,0,0.98,0.99,0.98,367
model21447,1,0.35,0.26,0.3,27
model21447,2,0.61,0.7,0.65,123
model21447,3,0.33,0.17,0.23,29
model21447,4,0.26,0.24,0.25,25
model21448,0,0.98,0.99,0.98,367
model21448,1,0.35,0.26,0.3,27
model21448,2,0.63,0.48,0.55,123
model21448,3,0.25,0.55,0.35,29
model21448,4,0.26,0.24,0.25,25
model21449,0,0.98,0.99,0.98,367
model21449,1,0.35,0.26,0.3,27
model21449,2,0.62,0.62,0.62,123
model21449,3,0.24,0.28,0.26,29
model21449,4,0.26,0.24,0.25,25
model21455,0,0.98,0.99,0.98,367
model21455,1,0.35,0.26,0.3,27
model21455,2,0.64,0.7,0.67,123
model21455,3,0.32,0.24,0.27,29
model21455,4,0.35,0.32,0.33,25
model21456,0,0.98,0.99,0.98,367
model21456,1,0.35,0.26,0.3,27
model21456,2,0.62,0.56,0.59,123
model21456,3,0.27,0.41,0.32,29
model21456,4,0.35,0.32,0.33,25
model21457,0,0.98,0.99,0.98,367
model21457,1,0.35,0.26,0.3,27
model21457,2,0.63,0.72,0.67,123
model21457,3,0.31,0.17,0.22,29
model21457,4,0.35,0.32,0.33,25
model21458,0,0.98,0.99,0.98,367
model21458,1,0.35,0.26,0.3,27
model21458,2,0.67,0.5,0.57,123
model21458,3,0.25,0.55,0.35,29
model21458,4,0.35,0.32,0.33,25
model21459,0,0.98,0.99,0.98,367
